华南,平面一,广州-华新园,,1,11.190.19.128,11.190.19.129,11.190.19.254,11.190.19.255,已经录入/24网段,,
华南,平面一,广州-永顺,,2,11.190.20.0,11.190.20.1,11.190.20.126,11.190.20.127,已经录入/24网段,,
华南,平面一,广州-云谷,,3,11.190.20.128,11.190.20.129,11.190.20.254,11.190.20.255,已经录入/24网段,,
华南,平面一,深汕-腾大,,4,11.190.21.0,11.190.21.1,11.190.21.126,11.190.21.127,,,
华南,平面一,深汕-滨海,,5,11.190.21.128,11.190.21.129,11.190.21.254,11.190.21.255,,,
华南,平面一,深汕-鹅埠,,6,11.190.22.0,11.190.22.1,11.190.22.126,11.190.22.127,,,
华南,平面一,,,7,11.190.22.128,11.190.22.129,11.190.22.254,11.190.22.255,,,
华南,平面一,,,8,11.190.23.0,11.190.23.1,11.190.23.126,11.190.23.127,,,
华南,平面一,,,9,11.190.23.128,11.190.23.129,11.190.23.254,11.190.23.255,,,
华南,平面一,,,10,11.190.24.0,11.190.24.1,11.190.24.126,11.190.24.127,,,
华南,平面一,,,11,11.190.24.128,11.190.24.129,11.190.24.254,11.190.24.255,,,
华南,平面一,,,12,11.190.25.0,11.190.25.1,11.190.25.126,11.190.25.127,,,
华南,平面一,,,13,11.190.25.128,11.190.25.129,11.190.25.254,11.190.25.255,,,
华南,平面一,,,14,11.190.26.0,11.190.26.1,11.190.26.126,11.190.26.127,,,
华南,平面一,,,15,11.190.26.128,11.190.26.129,11.190.26.254,11.190.26.255,,,
华南,平面一,,,16,11.190.27.0,11.190.27.1,11.190.27.126,11.190.27.127,,,
华南,平面一,,,17,11.190.27.128,11.190.27.129,11.190.27.254,11.190.27.255,,,
华南,平面一,,,18,11.190.28.0,11.190.28.1,11.190.28.126,11.190.28.127,,,
华南,平面一,,,19,11.190.28.128,11.190.28.129,11.190.28.254,11.190.28.255,,,
华南,平面一,,,20,11.190.29.0,11.190.29.1,11.190.29.126,11.190.29.127,,,
华南,平面一,,,21,11.190.29.128,11.190.29.129,11.190.29.254,11.190.29.255,,,
华南,平面一,,,22,11.190.30.0,11.190.30.1,11.190.30.126,11.190.30.127,,,
华南,平面一,,,23,11.190.30.128,11.190.30.129,11.190.30.254,11.190.30.255,,,
华南,平面一,,,24,11.190.31.0,11.190.31.1,11.190.31.126,11.190.31.127,,,
华南,平面一,,,25,11.190.31.128,11.190.31.129,11.190.31.254,11.190.31.255,,,
华南,平面一,,,26,11.190.32.0,11.190.32.1,11.190.32.126,11.190.32.127,,,
华南,平面一,,,27,11.190.32.128,11.190.32.129,11.190.32.254,11.190.32.255,,,
华南,平面一,,,28,11.190.33.0,11.190.33.1,11.190.33.126,11.190.33.127,,,
华南,平面一,,,29,11.190.33.128,11.190.33.129,11.190.33.254,11.190.33.255,,,
华南,平面一,,,30,11.190.34.0,11.190.34.1,11.190.34.126,11.190.34.127,,,
华南,平面一,,,31,11.190.34.128,11.190.34.129,11.190.34.254,11.190.34.255,,,
华南,平面一,,,32,11.190.35.0,11.190.35.1,11.190.35.126,11.190.35.127,,,
华南,平面二,深圳-腾大,,1,11.190.55.0,11.190.55.1,11.190.55.126,11.190.55.127,已经录入/24网段,,
华南,平面二,深圳-滨海,,2,11.190.55.128,11.190.55.129,11.190.55.254,11.190.55.255,已经录入/24网段,,
华南,平面二,深圳-光明,,3,11.190.56.0,11.190.56.1,11.190.56.126,11.190.56.127,已经录入/24网段,,
华南,平面二,深圳-荔景,,4,11.190.56.128,11.190.56.129,11.190.56.254,11.190.56.255,已经录入/24网段,,
华南,平面二,深圳-锦绣,,5,11.190.57.0,11.190.57.1,11.190.57.126,11.190.57.127,已经录入/24网段,,
华南,平面二,广州-华新园,,6,11.190.57.128,11.190.57.129,11.190.57.254,11.190.57.255,已经录入/24网段,,
华南,平面二,广州-永顺,,7,11.190.58.0,11.190.58.1,11.190.58.126,11.190.58.127,已经录入/24网段,,
华南,平面二,广州-云谷,,8,11.190.58.128,11.190.58.129,11.190.58.254,11.190.58.255,已经录入/24网段,,
华南,平面二,深汕-腾大,,9,11.190.59.0,11.190.59.1,11.190.59.126,11.190.59.127,,,
华南,平面二,深汕-滨海,,10,11.190.59.128,11.190.59.129,11.190.59.254,11.190.59.255,,,
华南,平面二,深汕-鹅埠,,11,11.190.60.0,11.190.60.1,11.190.60.126,11.190.60.127,,,
华南,平面二,,,12,11.190.60.128,11.190.60.129,11.190.60.254,11.190.60.255,,,
华南,平面二,,,13,11.190.61.0,11.190.61.1,11.190.61.126,11.190.61.127,,,
华南,平面二,,,14,11.190.61.128,11.190.61.129,11.190.61.254,11.190.61.255,,,
华南,平面二,,,15,11.190.62.0,11.190.62.1,11.190.62.126,11.190.62.127,,,
华南,平面二,,,16,11.190.62.128,11.190.62.129,11.190.62.254,11.190.62.255,,,
华南,平面二,,,17,11.190.63.0,11.190.63.1,11.190.63.126,11.190.63.127,,,
华南,平面二,,,18,11.190.63.128,11.190.63.129,11.190.63.254,11.190.63.255,,,
华南,平面二,,,19,11.190.64.0,11.190.64.1,11.190.64.126,11.190.64.127,,,
华南,平面二,,,20,11.190.64.128,11.190.64.129,11.190.64.254,11.190.64.255,,,
华南,平面二,,,21,11.190.65.0,11.190.65.1,11.190.65.126,11.190.65.127,,,
华南,平面二,,,22,11.190.65.128,11.190.65.129,11.190.65.254,11.190.65.255,,,
华南,平面二,,,23,11.190.66.0,11.190.66.1,11.190.66.126,11.190.66.127,,,
